Codice Prodotto,Nome Prodotto,Categoria,Prezzo
P00067,Mini Arredamento 432,Arredamento,1805.47
P00068,Air Bellezza 140,Bellezza,251.46
P00069,Max Abbigliamento 506,Abbigliamento,1350.83
P00070,Ultra Elettrodomestici 887,Elettrodomestici,1525.13
P00071,Lite Giochi 96,Giochi,1542.0
P00072,Lite Bellezza 76,Bellezza,313.37
P00073,Air Automotive 728,Automotive,86.29
P00074,Mini Arredamento 599,Arredamento,1994.06
P00075,Plus Automotive 319,Automotive,1229.77
P00076,Air Sport 325,Sport,186.69
P00077,Prime Abbigliamento 907,Abbigliamento,1151.15
P00078,Ultra Informatica 340,Informatica,1263.19
P00079,Air Abbigliamento 60,Abbigliamento,232.73
P00080,Lite Automotive 950,Automotive,1502.92
P00081,Prime Telefonia 521,Telefonia,569.88
P00082,Eco Automotive 445,Automotive,1306.96
P00083,Air Giochi 725,Giochi,134.48
P00084,Ultra Arredamento 486,Arredamento,874.71
P00085,Mini Informatica 340,Informatica,1063.7
P00086,Pro Informatica 596,Informatica,1048.36
P00087,Mini Automotive 23,Automotive,263.85
P00088,Plus Giardinaggio 316,Giardinaggio,832.4
P00089,Mini Arredamento 566,Arredamento,1909.15
P00090,Smart Abbigliamento 487,Abbigliamento,1060.45
P00091,Air Arredamento 140,Arredamento,1042.93
P00092,Plus Arredamento 173,Arredamento,946.51
P00093,Pro Automotive 171,Automotive,426.29
P00094,Mini Giardinaggio 372,Giardinaggio,1989.11
P00095,Lite Giardinaggio 34,Giardinaggio,1672.69
P00096,Smart Giardinaggio 846,Giardinaggio,604.06
P00097,Plus Sport 220,Sport,101.16
P00098,Max Bellezza 107,Bellezza,1808.81
P00099,Prime Elettrodomestici 918,Elettrodomestici,74.47
P00100,Eco Giardinaggio 789,Giardinaggio,1189.73
P00101,Ultra Telefonia 462,Telefonia,345.3
P00102,Smart Arredamento 37,Arredamento,1150.34
P00103,Smart Informatica 782,Informatica,1420.23
P00104,Ultra Informatica 938,Informatica,380.08
P00105,Smart Bellezza 381,Bellezza,221.3
P00106,Eco Arredamento 211,Arredamento,698.74
P00107,Plus Telefonia 801,Telefonia,63.47
P00108,Prime Telefonia 917,Telefonia,1705.32
P00109,Lite Automotive 823,Automotive,1115.96
P00110,Lite Automotive 254,Automotive,97.44
P00111,Eco Bellezza 794,Bellezza,411.8
P00112,Lite Arredamento 270,Arredamento,532.58
P00113,Lite Telefonia 286,Telefonia,759.14
P00114,Eco Automotive 167,Automotive,829.05
P00115,Plus Abbigliamento 829,Abbigliamento,1565.88
P00116,Max Elettrodomestici 342,Elettrodomestici,1869.22
P00117,Eco Telefonia 819,Telefonia,857.47
P00118,Smart Bellezza 415,Bellezza,833.81
P00119,Air Giochi 311,Giochi,93.73
P00120,Max Arredamento 545,Arredamento,1792.31
P00121,Max Sport 86,Sport,1719.75
P00122,Ultra Abbigliamento 539,Abbigliamento,1679.06
P00123,Air Giochi 112,Giochi,1235.83
P00124,Prime Giochi 69,Giochi,208.73
P00125,Air Giochi 811,Giochi,1517.15
P00126,Plus Telefonia 160,Telefonia,910.07
P00127,Smart Giochi 731,Giochi,1533.33
P00128,Mini Telefonia 186,Telefonia,833.97
P00129,Eco Bellezza 578,Bellezza,959.64
P00130,Mini Telefonia 780,Telefonia,1060.18
P00131,Plus Automotive 973,Automotive,1480.0
P00132,Lite Giochi 24,Giochi,1710.57
P00133,Lite Abbigliamento 748,Abbigliamento,185.28
P00134,Ultra Arredamento 531,Arredamento,12.91
P00135,Plus Giochi 607,Giochi,166.04
P00136,Eco Arredamento 567,Arredamento,1620.6
P00137,Air Abbigliamento 467,Abbigliamento,937.41
P00138,Smart Giochi 572,Giochi,1897.85
P00139,Max Arredamento 602,Arredamento,465.37
P00140,Plus Arredamento 972,Arredamento,1978.16
P00141,Prime Elettrodomestici 681,Elettrodomestici,89.52
P00142,Mini Informatica 970,Informatica,782.71
P00143,Prime Elettrodomestici 681,Elettrodomestici,1989.24
P00144,Mini Arredamento 475,Arredamento,433.95
P00145,Prime Elettrodomestici 10,Elettrodomestici,1593.27
P00146,Eco Giardinaggio 22,Giardinaggio,1946.69
P00147,Prime Arredamento 228,Arredamento,542.1
P00148,Eco Giardinaggio 322,Giardinaggio,468.38
P00149,Plus Sport 654,Sport,483.52
P00150,Eco Bellezza 178,Bellezza,1255.47
P00151,Pro Arredamento 17,Arredamento,1632.64
P00152,Eco Elettrodomestici 259,Elettrodomestici,452.51
P00153,Ultra Giardinaggio 893,Giardinaggio,1692.29
P00154,Eco Automotive 535,Automotive,1637.45
P00155,Eco Automotive 953,Automotive,390.33
P00156,Air Giardinaggio 321,Giardinaggio,1853.92
P00157,Lite Elettrodomestici 932,Elettrodomestici,1122.03
P00158,Prime Giardinaggio 337,Giardinaggio,1399.89
P00159,Prime Giardinaggio 701,Giardinaggio,713.8
P00160,Mini Automotive 786,Automotive,815.74
P00161,Smart Giochi 823,Giochi,374.64
P00162,Max Arredamento 323,Arredamento,1670.98
P00163,Prime Automotive 916,Automotive,57.39
P00164,Plus Abbigliamento 244,Abbigliamento,766.36
P00165,Plus Automotive 901,Automotive,834.16
P00166,Ultra Bellezza 126,Bellezza,1150.13
P00167,Pro Arredamento 87,Arredamento,700.19
P00168,Smart Automotive 722,Automotive,1250.96
P00169,Plus Arredamento 722,Arredamento,601.04
P00170,Smart Elettrodomestici 747,Elettrodomestici,173.27
P00171,Pro Bellezza 469,Bellezza,882.27
P00172,Pro Giardinaggio 29,Giardinaggio,1325.73
P00173,Prime Informatica 643,Informatica,1066.79
P00174,Pro Elettrodomestici 706,Elettrodomestici,1797.0
P00175,Prime Bellezza 156,Bellezza,1735.89
P00176,Prime Abbigliamento 175,Abbigliamento,1936.48
P00177,Max Arredamento 416,Arredamento,547.24
P00178,Max Sport 778,Sport,760.17
P00179,Prime Giardinaggio 581,Giardinaggio,1846.54
P00180,Pro Bellezza 207,Bellezza,677.91
P00181,Max Bellezza 799,Bellezza,346.82
P00182,Max Elettrodomestici 281,Elettrodomestici,466.71
P00183,Smart Giochi 255,Giochi,1424.74
P00184,Pro Telefonia 752,Telefonia,823.48
P00185,Max Abbigliamento 84,Abbigliamento,1758.92
P00186,Ultra Giochi 725,Giochi,948.97
P00187,Eco Giochi 841,Giochi,871.24
P00188,Plus Sport 854,Sport,1236.01
P00189,Mini Giardinaggio 14,Giardinaggio,1846.7
P00190,Lite Automotive 489,Automotive,288.34
P00191,Air Sport 909,Sport,482.83
P00192,Plus Automotive 163,Automotive,1274.23
P00193,Mini Informatica 113,Informatica,1560.86
P00194,Max Arredamento 255,Arredamento,1754.59
P00195,Mini Sport 932,Sport,457.82
P00196,Ultra Sport 800,Sport,855.32
P00197,Mini Giardinaggio 459,Giardinaggio,412.45
P00198,Smart Giardinaggio 290,Giardinaggio,1073.9
P00199,Smart Automotive 526,Automotive,1226.11
P00200,Eco Informatica 739,Informatica,1630.91
P00201,Ultra Giardinaggio 638,Giardinaggio,404.57
P00202,Lite Giochi 258,Giochi,1687.92
P00203,Air Elettrodomestici 333,Elettrodomestici,810.9
P00204,Ultra Telefonia 176,Telefonia,1105.45
P00205,Plus Automotive 623,Automotive,1884.74
P00206,Eco Bellezza 337,Bellezza,528.8
P00207,Smart Giochi 275,Giochi,410.78
P00208,Air Abbigliamento 566,Abbigliamento,1498.33
P00209,Prime Automotive 739,Automotive,581.98
P00210,Plus Elettrodomestici 273,Elettrodomestici,860.35
P00211,Smart Informatica 11,Informatica,1217.56
P00212,Plus Sport 287,Sport,892.81
P00213,Pro Sport 721,Sport,1597.21
P00214,Max Telefonia 482,Telefonia,1057.45
P00215,Mini Giochi 619,Giochi,727.1
P00216,Mini Arredamento 894,Arredamento,1454.03
P00217,Air Giardinaggio 800,Giardinaggio,1751.22
P00218,Ultra Informatica 429,Informatica,52.51
P00219,Air Bellezza 349,Bellezza,889.01
P00220,Smart Abbigliamento 503,Abbigliamento,246.14
P00221,Ultra Arredamento 940,Arredamento,1886.93
P00222,Plus Abbigliamento 896,Abbigliamento,1028.87
P00223,Max Informatica 362,Informatica,705.38
P00224,Ultra Automotive 225,Automotive,251.67
P00225,Mini Sport 317,Sport,1805.55
P00226,Mini Bellezza 588,Bellezza,641.89
P00227,Lite Giardinaggio 805,Giardinaggio,514.46
P00228,Pro Giochi 947,Giochi,761.21
P00229,Smart Bellezza 299,Bellezza,948.51
P00230,Plus Abbigliamento 888,Abbigliamento,1189.49
P00231,Smart Automotive 344,Automotive,794.13
P00232,Smart Telefonia 598,Telefonia,1537.56
P00233,Pro Arredamento 897,Arredamento,1926.78
P00234,Air Automotive 558,Automotive,512.89
P00235,Prime Automotive 236,Automotive,75.13
P00236,Ultra Bellezza 191,Bellezza,568.54
P00237,Pro Giochi 614,Giochi,312.8
P00238,Eco Arredamento 472,Arredamento,771.49
P00239,Plus Giochi 265,Giochi,1129.51
P00240,Smart Telefonia 930,Telefonia,1031.17
P00241,Air Giardinaggio 309,Giardinaggio,1740.63
P00242,Max Informatica 241,Informatica,1155.59
P00243,Air Elettrodomestici 370,Elettrodomestici,677.69
P00244,Lite Informatica 880,Informatica,1978.23
P00245,Air Informatica 482,Informatica,1825.83
P00246,Plus Giardinaggio 65,Giardinaggio,1395.8
P00247,Eco Automotive 556,Automotive,33.05
P00248,Air Giochi 919,Giochi,1713.83
P00249,Prime Automotive 342,Automotive,496.21
P00250,Mini Informatica 922,Informatica,149.09
P00251,Plus Giochi 563,Giochi,959.13
P00252,Mini Bellezza 535,Bellezza,881.84
P00253,Mini Elettrodomestici 572,Elettrodomestici,1280.34
P00254,Pro Sport 769,Sport,1662.43
P00255,Smart Giardinaggio 393,Giardinaggio,228.58
P00256,Ultra Automotive 723,Automotive,889.22
P00257,Mini Sport 160,Sport,848.76
P00258,Mini Automotive 485,Automotive,469.1
P00259,Prime Automotive 149,Automotive,1686.47
P00260,Eco Giardinaggio 627,Giardinaggio,1875.87
P00261,Prime Bellezza 767,Bellezza,628.8
P00262,Lite Telefonia 259,Telefonia,1027.88
P00263,Plus Giardinaggio 48,Giardinaggio,244.76
P00264,Eco Bellezza 993,Bellezza,1848.0
P00265,Prime Sport 893,Sport,361.43
P00266,Prime Arredamento 797,Arredamento,204.99
P00267,Prime Sport 864,Sport,938.16
P00268,Max Bellezza 978,Bellezza,1279.24
P00269,Prime Automotive 359,Automotive,1663.81
P00270,Air Giochi 933,Giochi,604.96
P00271,Plus Elettrodomestici 671,Elettrodomestici,1552.96
P00272,Lite Giochi 147,Giochi,130.32
P00273,Smart Telefonia 873,Telefonia,1871.91
P00274,Eco Telefonia 406,Telefonia,1963.43
P00275,Lite Telefonia 757,Telefonia,856.36
P00276,Plus Bellezza 985,Bellezza,164.71
P00277,Plus Telefonia 589,Telefonia,1256.18
P00278,Plus Sport 435,Sport,1476.54
P00279,Pro Abbigliamento 446,Abbigliamento,1936.29
P00280,Smart Sport 597,Sport,1530.65
P00281,Prime Giardinaggio 839,Giardinaggio,1288.76
P00282,Pro Giochi 93,Giochi,433.0
P00283,Smart Sport 467,Sport,1584.41
P00284,Mini Arredamento 2,Arredamento,782.11
P00285,Prime Informatica 616,Informatica,145.49
P00286,Pro Abbigliamento 975,Abbigliamento,1641.88
P00287,Smart Arredamento 698,Arredamento,1520.37
P00288,Lite Elettrodomestici 997,Elettrodomestici,1362.34
P00289,Max Giochi 440,Giochi,1247.95
P00290,Prime Bellezza 49,Bellezza,1128.6
P00291,Mini Bellezza 179,Bellezza,135.98
P00292,Air Informatica 203,Informatica,405.28
P00293,Prime Informatica 440,Informatica,1627.26
P00294,Ultra Bellezza 580,Bellezza,189.3
P00295,Pro Sport 477,Sport,718.02
P00296,Ultra Abbigliamento 709,Abbigliamento,1232.8
P00297,Lite Giochi 645,Giochi,505.57
P00298,Prime Giochi 800,Giochi,858.81
P00299,Lite Arredamento 437,Arredamento,1595.45
P00300,Lite Informatica 176,Informatica,94.96
P00301,Lite Giardinaggio 540,Giardinaggio,1410.99
P00302,Max Arredamento 340,Arredamento,1165.12
P00303,Plus Bellezza 684,Bellezza,128.63
P00304,Lite Bellezza 147,Bellezza,1201.48
P00305,Ultra Sport 700,Sport,11.61
P00306,Lite Sport 734,Sport,1395.35
P00307,Mini Sport 550,Sport,1967.91
P00308,Ultra Bellezza 867,Bellezza,1873.94
P00309,Eco Giardinaggio 541,Giardinaggio,1985.68
P00310,Pro Giochi 84,Giochi,494.73
P00311,Mini Arredamento 807,Arredamento,911.55
P00312,Pro Telefonia 586,Telefonia,764.08
P00313,Lite Bellezza 984,Bellezza,724.94
P00314,Prime Arredamento 792,Arredamento,1633.88
P00315,Lite Arredamento 581,Arredamento,411.86
P00316,Max Automotive 988,Automotive,491.48
P00317,Smart Automotive 187,Automotive,728.15
P00318,Plus Elettrodomestici 733,Elettrodomestici,1958.62
P00319,Max Elettrodomestici 287,Elettrodomestici,1296.45
P00320,Lite Bellezza 883,Bellezza,1328.55
P00321,Mini Bellezza 109,Bellezza,1783.9
P00322,Air Sport 209,Sport,449.17
P00323,Ultra Arredamento 885,Arredamento,1709.4
P00324,Eco Telefonia 277,Telefonia,653.85
P00325,Lite Giardinaggio 528,Giardinaggio,627.22
P00326,Air Telefonia 826,Telefonia,1300.47
P00327,Prime Telefonia 563,Telefonia,1832.64
P00328,Ultra Arredamento 936,Arredamento,1865.8
P00329,Max Abbigliamento 918,Abbigliamento,683.31
P00330,Smart Informatica 906,Informatica,8.65
P00331,Eco Informatica 278,Informatica,1718.7
P00332,Eco Sport 832,Sport,1120.09
P00333,Pro Telefonia 535,Telefonia,1768.86
P00334,Air Abbigliamento 899,Abbigliamento,1768.77
P00335,Eco Giardinaggio 64,Giardinaggio,1473.19
P00336,Eco Arredamento 858,Arredamento,50.18
P00337,Mini Giardinaggio 813,Giardinaggio,1757.32
P00338,Pro Bellezza 128,Bellezza,1072.16
P00339,Ultra Giochi 447,Giochi,1629.48
P00340,Ultra Giochi 679,Giochi,1794.66
P00341,Ultra Telefonia 130,Telefonia,1691.26
P00342,Plus Bellezza 570,Bellezza,989.42
P00343,Prime Elettrodomestici 35,Elettrodomestici,561.73
P00344,Air Giardinaggio 383,Giardinaggio,273.29
P00345,Lite Informatica 952,Informatica,149.79
P00346,Plus Giochi 575,Giochi,490.62
P00347,Mini Arredamento 748,Arredamento,353.43
P00348,Mini Arredamento 23,Arredamento,1061.79
P00349,Eco Automotive 533,Automotive,24.97
P00350,Plus Giochi 142,Giochi,812.08
P00351,Eco Informatica 856,Informatica,697.74
P00352,Max Giardinaggio 359,Giardinaggio,1384.62
P00353,Smart Giochi 821,Giochi,1512.36
P00354,Prime Telefonia 617,Telefonia,1209.28
P00355,Ultra Giochi 667,Giochi,1421.29
P00356,Air Sport 590,Sport,1385.13
P00357,Air Bellezza 836,Bellezza,1461.68
P00358,Prime Arredamento 752,Arredamento,1843.64
P00359,Air Bellezza 535,Bellezza,1247.23
P00360,Prime Giardinaggio 952,Giardinaggio,1273.47
P00361,Prime Automotive 934,Automotive,819.98
P00362,Ultra Sport 140,Sport,191.59
P00363,Lite Giardinaggio 926,Giardinaggio,1899.76
P00364,Mini Giochi 175,Giochi,406.41
P00365,Max Abbigliamento 386,Abbigliamento,1721.02
P00366,Prime Sport 989,Sport,100.48
P00367,Lite Abbigliamento 364,Abbigliamento,769.48
P00368,Mini Giardinaggio 572,Giardinaggio,555.64
P00369,Ultra Automotive 665,Automotive,370.52
P00370,Prime Bellezza 643,Bellezza,100.39
P00371,Max Sport 390,Sport,776.62
P00372,Mini Informatica 5,Informatica,407.76
P00373,Ultra Informatica 624,Informatica,1032.15
P00374,Lite Arredamento 135,Arredamento,1096.76
P00375,Prime Sport 261,Sport,1312.34
P00376,Eco Telefonia 10,Telefonia,1788.76
P00377,Lite Abbigliamento 773,Abbigliamento,806.9
P00378,Prime Giardinaggio 443,Giardinaggio,1145.95
P00379,Prime Arredamento 194,Arredamento,632.49
P00380,Eco Telefonia 264,Telefonia,1752.8
P00381,Lite Abbigliamento 70,Abbigliamento,1148.9
P00382,Mini Informatica 146,Informatica,875.55
P00383,Lite Informatica 766,Informatica,593.99
P00384,Plus Giardinaggio 800,Giardinaggio,645.62
P00385,Smart Giochi 118,Giochi,1239.26
P00386,Lite Bellezza 711,Bellezza,947.87
P00387,Lite Sport 610,Sport,772.43
P00388,Pro Automotive 510,Automotive,1240.09
P00389,Prime Sport 717,Sport,1420.1
P00390,Prime Informatica 539,Informatica,1370.79
P00391,Prime Informatica 107,Informatica,629.33
P00392,Mini Giardinaggio 520,Giardinaggio,1227.55
P00393,Prime Giochi 463,Giochi,1889.32
P00394,Pro Informatica 278,Informatica,1228.21
P00395,Prime Informatica 568,Informatica,30.6
P00396,Prime Sport 700,Sport,1316.99
P00397,Eco Automotive 88,Automotive,1918.28
P00398,Smart Bellezza 694,Bellezza,1462.79
P00399,Prime Elettrodomestici 426,Elettrodomestici,476.14
P00400,Mini Automotive 740,Automotive,353.0
P00401,Smart Telefonia 575,Telefonia,1657.94
P00402,Eco Informatica 980,Informatica,1097.42
P00403,Smart Giardinaggio 537,Giardinaggio,1702.24
P00404,Mini Sport 319,Sport,271.18
P00405,Smart Arredamento 631,Arredamento,1974.87
P00406,Eco Telefonia 575,Telefonia,1497.66
P00407,Eco Arredamento 203,Arredamento,1886.13
P00408,Max Giardinaggio 964,Giardinaggio,639.59
P00409,Smart Telefonia 915,Telefonia,1871.42
P00410,Smart Bellezza 470,Bellezza,1994.02
P00411,Smart Abbigliamento 747,Abbigliamento,246.76
P00412,Smart Abbigliamento 892,Abbigliamento,289.87
P00413,Pro Arredamento 456,Arredamento,1355.41
P00414,Max Informatica 4,Informatica,1808.83
P00415,Air Giochi 119,Giochi,203.51
P00416,Ultra Giochi 930,Giochi,542.32
P00417,Lite Bellezza 388,Bellezza,143.87
P00418,Prime Elettrodomestici 963,Elettrodomestici,835.96
P00419,Prime Bellezza 548,Bellezza,1870.13
P00420,Lite Bellezza 330,Bellezza,445.46
P00421,Max Automotive 146,Automotive,1951.34
P00422,Air Arredamento 3,Arredamento,1085.11
P00423,Max Informatica 804,Informatica,1624.28
P00424,Ultra Bellezza 813,Bellezza,1755.38
P00425,Lite Bellezza 972,Bellezza,451.9
P00426,Smart Informatica 998,Informatica,663.75
P00427,Eco Giardinaggio 778,Giardinaggio,208.33
P00428,Smart Elettrodomestici 245,Elettrodomestici,1033.96
P00429,Air Telefonia 424,Telefonia,162.91
P00430,Plus Sport 268,Sport,1356.18
P00431,Pro Informatica 188,Informatica,908.22
P00432,Lite Informatica 327,Informatica,1220.09
P00433,Lite Giardinaggio 539,Giardinaggio,343.38
P00434,Plus Bellezza 325,Bellezza,1143.38
P00435,Air Sport 835,Sport,366.47
P00436,Lite Giochi 810,Giochi,392.49
P00437,Ultra Automotive 568,Automotive,1459.36
P00438,Air Giardinaggio 44,Giardinaggio,718.77
P00439,Lite Giardinaggio 30,Giardinaggio,877.88
P00440,Lite Automotive 761,Automotive,1263.67
P00441,Lite Bellezza 525,Bellezza,265.37
P00442,Plus Bellezza 273,Bellezza,289.95
P00443,Max Giardinaggio 630,Giardinaggio,737.13
P00444,Plus Bellezza 497,Bellezza,1739.87
P00445,Air Giochi 732,Giochi,1439.75
P00446,Plus Giochi 628,Giochi,226.5
P00447,Air Telefonia 638,Telefonia,1018.96
P00448,Max Elettrodomestici 884,Elettrodomestici,723.15
P00449,Prime Informatica 637,Informatica,1109.34
P00450,Lite Informatica 390,Informatica,1943.28
P00451,Ultra Sport 949,Sport,885.69
P00452,Ultra Giardinaggio 452,Giardinaggio,644.25
P00453,Eco Telefonia 857,Telefonia,1109.23
P00454,Ultra Elettrodomestici 49,Elettrodomestici,1854.24
P00455,Pro Giochi 116,Giochi,1759.57
P00456,Plus Sport 517,Sport,149.55
P00457,Air Automotive 793,Automotive,1222.21
P00458,Prime Sport 751,Sport,588.42
P00459,Lite Giochi 112,Giochi,823.72
P00460,Plus Abbigliamento 2,Abbigliamento,456.83
P00461,Air Telefonia 564,Telefonia,1731.19
P00462,Ultra Automotive 973,Automotive,345.91
P00463,Pro Telefonia 566,Telefonia,343.9
P00464,Plus Giardinaggio 980,Giardinaggio,305.31
P00465,Plus Giochi 683,Giochi,1966.68
P00466,Lite Giochi 369,Giochi,437.79
P00467,Lite Telefonia 260,Telefonia,1769.08
P00468,Eco Automotive 314,Automotive,1239.04
P00469,Prime Arredamento 573,Arredamento,1300.34
P00470,Plus Giardinaggio 75,Giardinaggio,16.76
P00471,Air Arredamento 727,Arredamento,1494.49
P00472,Smart Elettrodomestici 537,Elettrodomestici,449.7
P00473,Eco Arredamento 962,Arredamento,1615.05
P00474,Eco Automotive 892,Automotive,1604.29
P00475,Plus Abbigliamento 296,Abbigliamento,168.79
P00476,Ultra Abbigliamento 217,Abbigliamento,227.04
P00477,Smart Arredamento 506,Arredamento,260.46
P00478,Eco Bellezza 523,Bellezza,626.6
P00479,Air Elettrodomestici 621,Elettrodomestici,1221.43
P00480,Max Sport 66,Sport,1324.37
P00481,Lite Telefonia 612,Telefonia,466.78
P00482,Plus Bellezza 69,Bellezza,1751.92
P00483,Max Bellezza 83,Bellezza,1719.85
P00484,Max Giardinaggio 892,Giardinaggio,988.81
P00485,Lite Bellezza 563,Bellezza,573.24
P00486,Ultra Bellezza 780,Bellezza,321.19
P00487,Lite Sport 428,Sport,1614.34
P00488,Smart Telefonia 109,Telefonia,1961.8
P00489,Smart Arredamento 911,Arredamento,442.82
P00490,Prime Sport 520,Sport,1345.06
P00491,Air Automotive 746,Automotive,71.43
P00492,Air Telefonia 43,Telefonia,1681.91
P00493,Mini Elettrodomestici 643,Elettrodomestici,120.92
P00494,Max Abbigliamento 494,Abbigliamento,1532.48
P00495,Prime Giochi 613,Giochi,525.18
P00496,Prime Informatica 855,Informatica,1828.52
P00497,Max Bellezza 63,Bellezza,1449.57
P00498,Mini Automotive 827,Automotive,1051.68
P00499,Eco Elettrodomestici 349,Elettrodomestici,1580.32
P00500,Eco Sport 21,Sport,1922.3
P00501,Smart Automotive 354,Automotive,741.35
P00502,Lite Automotive 567,Automotive,1389.02
P00503,Smart Arredamento 365,Arredamento,1403.92
P00504,Air Giochi 583,Giochi,931.8
P00505,Smart Elettrodomestici 435,Elettrodomestici,974.03
P00506,Ultra Giardinaggio 549,Giardinaggio,1120.3
P00507,Prime Abbigliamento 123,Abbigliamento,883.15
P00508,Prime Giochi 465,Giochi,854.73
P00509,Pro Giardinaggio 856,Giardinaggio,1634.71
P00510,Pro Arredamento 3,Arredamento,121.87
P00511,Prime Bellezza 221,Bellezza,1831.55
P00512,Pro Giochi 343,Giochi,493.82
P00513,Lite Sport 21,Sport,1444.41
P00514,Air Automotive 963,Automotive,574.48
P00515,Air Automotive 845,Automotive,1175.47
P00516,Smart Arredamento 91,Arredamento,335.04
P00517,Prime Arredamento 380,Arredamento,133.12
P00518,Plus Sport 803,Sport,765.72
P00519,Mini Informatica 614,Informatica,121.36
P00520,Eco Informatica 433,Informatica,341.03
P00521,Eco Automotive 319,Automotive,301.58
P00522,Pro Giardinaggio 102,Giardinaggio,1651.95
P00523,Plus Abbigliamento 700,Abbigliamento,658.71
P00524,Prime Sport 529,Sport,785.63
P00525,Smart Abbigliamento 312,Abbigliamento,1811.16
P00526,Plus Automotive 381,Automotive,211.19
P00527,Eco Informatica 80,Informatica,310.18
P00528,Eco Telefonia 383,Telefonia,387.25
P00529,Plus Elettrodomestici 459,Elettrodomestici,1566.33
P00530,Mini Sport 377,Sport,1108.61
P00531,Air Abbigliamento 894,Abbigliamento,396.46
P00532,Air Giochi 341,Giochi,1191.35
P00533,Plus Sport 938,Sport,1421.98
P00534,Air Sport 585,Sport,759.25
P00535,Pro Sport 951,Sport,1276.27
P00536,Air Bellezza 892,Bellezza,328.25
P00537,Ultra Sport 537,Sport,716.04
P00538,Prime Sport 34,Sport,1954.73
P00539,Prime Elettrodomestici 855,Elettrodomestici,1790.88
P00540,Max Giochi 123,Giochi,1365.71
P00541,Plus Abbigliamento 301,Abbigliamento,1752.31
P00542,Mini Elettrodomestici 991,Elettrodomestici,972.52
P00543,Eco Giochi 806,Giochi,454.49
P00544,Max Giochi 225,Giochi,832.55
P00545,Plus Elettrodomestici 994,Elettrodomestici,1056.67
P00546,Smart Giardinaggio 697,Giardinaggio,1982.05
P00547,Eco Arredamento 421,Arredamento,602.35
P00548,Prime Sport 753,Sport,434.6
