Data Vendita,Prodotto,Regione,Venditore,Quantità,Prezzo Unitario,Importo Totale
17/07/2024,Prodotto 9,Est,Venditore 1,93,173.85,16168.05
24/02/2023,Prodotto 100,Est,Venditore 15,91,47.08,4284.28
13/07/2024,Prodotto 58,Nord,Venditore 2,43,678.88,29191.84
16/04/2024,Prodotto 45,Centro,Venditore 11,42,993.55,41729.1
07/01/2023,Prodotto 68,Sud,Venditore 10,54,411.21,22205.34
10/04/2023,Prodotto 26,Ovest,Venditore 12,40,977.15,39086.0
26/10/2023,Prodotto 92,Ovest,Venditore 16,15,346.85,5202.75
26/12/2022,Prodotto 100,Nord,Venditore 11,56,694.97,38918.32
27/10/2022,Prodotto 61,Est,Venditore 7,5,728.94,3644.7
20/07/2023,Prodotto 52,Ovest,Venditore 15,33,557.95,18412.35
14/02/2023,Prodotto 30,Est,Venditore 19,58,101.02,5859.16
28/08/2023,Prodotto 83,Est,Venditore 4,28,197.66,5534.48
17/08/2023,Prodotto 54,Centro,Venditore 14,50,584.07,29203.5
08/03/2024,Prodotto 9,Centro,Venditore 1,18,200.29,3605.22
16/09/2024,Prodotto 17,Centro,Venditore 12,96,267.0,25632.0
19/10/2023,Prodotto 84,Est,Venditore 13,31,433.42,13436.02
13/09/2023,Prodotto 85,Nord,Venditore 2,86,580.25,49901.5
09/12/2023,Prodotto 64,Nord,Venditore 12,27,167.76,4529.52
24/03/2023,Prodotto 66,Nord,Venditore 16,90,647.65,58288.5
21/08/2023,Prodotto 52,Ovest,Venditore 18,46,607.75,27956.5
28/11/2022,Prodotto 23,Ovest,Venditore 2,70,108.66,7606.2
23/09/2023,Prodotto 49,Centro,Venditore 16,4,477.91,1911.64
12/08/2024,Prodotto 70,Centro,Venditore 6,65,907.76,59004.4
09/12/2022,Prodotto 93,Est,Venditore 6,1,686.6,686.6
27/09/2024,Prodotto 28,Sud,Venditore 16,45,808.21,36369.45
10/11/2022,Prodotto 51,Centro,Venditore 14,87,669.01,58203.87
22/09/2023,Prodotto 66,Sud,Venditore 16,32,642.03,20544.96
16/09/2024,Prodotto 11,Centro,Venditore 16,37,928.02,34336.74
30/09/2024,Prodotto 30,Nord,Venditore 5,11,671.37,7385.07
15/07/2024,Prodotto 9,Nord,Venditore 2,84,226.94,19062.96
29/06/2023,Prodotto 80,Est,Venditore 16,70,433.42,30339.4
31/03/2023,Prodotto 18,Ovest,Venditore 4,15,774.09,11611.35
11/10/2024,Prodotto 95,Est,Venditore 12,96,826.54,79347.84
09/04/2024,Prodotto 69,Ovest,Venditore 4,59,662.42,39082.78
08/08/2024,Prodotto 81,Est,Venditore 9,46,957.0,44022.0
15/07/2024,Prodotto 74,Ovest,Venditore 4,75,573.73,43029.75
30/10/2023,Prodotto 8,Est,Venditore 1,37,672.66,24888.42
02/04/2023,Prodotto 37,Centro,Venditore 20,29,925.17,26829.93
23/11/2023,Prodotto 100,Centro,Venditore 7,99,957.46,94788.54
17/04/2024,Prodotto 77,Centro,Venditore 15,36,176.44,6351.84
02/08/2023,Prodotto 18,Sud,Venditore 7,25,932.28,23307.0
07/12/2023,Prodotto 38,Nord,Venditore 6,32,822.39,26316.48
20/05/2023,Prodotto 36,Ovest,Venditore 19,43,627.95,27001.85
10/12/2022,Prodotto 20,Est,Venditore 7,45,10.35,465.75
11/02/2024,Prodotto 62,Nord,Venditore 19,79,559.84,44227.36
30/08/2024,Prodotto 33,Sud,Venditore 3,29,666.43,19326.47
02/08/2024,Prodotto 31,Sud,Venditore 6,71,467.96,33225.16
14/06/2023,Prodotto 54,Centro,Venditore 20,56,912.24,51085.44
11/12/2022,Prodotto 90,Centro,Venditore 14,51,343.67,17527.17
22/07/2023,Prodotto 44,Sud,Venditore 8,72,300.47,21633.84
30/01/2023,Prodotto 39,Centro,Venditore 9,74,295.94,21899.56
04/07/2024,Prodotto 93,Sud,Venditore 13,8,845.01,6760.08
01/01/2024,Prodotto 71,Centro,Venditore 13,90,316.6,28494.0
07/05/2024,Prodotto 30,Centro,Venditore 16,97,819.71,79511.87
06/08/2024,Prodotto 8,Sud,Venditore 4,59,939.14,55409.26
19/09/2024,Prodotto 38,Nord,Venditore 1,95,901.55,85647.25
21/06/2024,Prodotto 89,Nord,Venditore 17,74,163.55,12102.7
13/11/2023,Prodotto 18,Nord,Venditore 9,8,59.22,473.76
21/02/2024,Prodotto 64,Ovest,Venditore 19,51,714.83,36456.33
12/01/2024,Prodotto 9,Nord,Venditore 12,39,440.49,17179.11
27/05/2023,Prodotto 57,Ovest,Venditore 20,73,836.91,61094.43
30/11/2023,Prodotto 14,Ovest,Venditore 1,24,987.9,23709.6
25/04/2023,Prodotto 35,Ovest,Venditore 11,65,175.15,11384.75
26/02/2023,Prodotto 23,Ovest,Venditore 19,12,986.61,11839.32
19/03/2024,Prodotto 72,Sud,Venditore 15,40,931.99,37279.6
07/02/2024,Prodotto 20,Sud,Venditore 4,15,692.88,10393.2
17/02/2023,Prodotto 10,Centro,Venditore 10,13,204.53,2658.89
03/05/2024,Prodotto 59,Nord,Venditore 9,34,392.33,13339.22
11/11/2023,Prodotto 98,Nord,Venditore 15,38,788.11,29948.18
16/01/2023,Prodotto 22,Centro,Venditore 4,66,221.14,14595.24
12/07/2023,Prodotto 30,Ovest,Venditore 3,92,294.94,27134.48
14/01/2023,Prodotto 77,Centro,Venditore 6,64,956.35,61206.4
26/11/2023,Prodotto 9,Est,Venditore 17,31,975.99,30255.69
23/09/2023,Prodotto 88,Sud,Venditore 17,51,597.81,30488.31
13/06/2023,Prodotto 11,Est,Venditore 12,52,692.32,36000.64
14/02/2023,Prodotto 81,Nord,Venditore 19,9,89.19,802.71
16/03/2024,Prodotto 67,Nord,Venditore 6,45,479.62,21582.9
13/07/2024,Prodotto 34,Centro,Venditore 9,73,997.25,72799.25
20/10/2022,Prodotto 35,Nord,Venditore 12,30,695.85,20875.5
16/02/2024,Prodotto 57,Est,Venditore 19,74,782.75,57923.5
02/11/2022,Prodotto 71,Nord,Venditore 9,1,272.9,272.9
11/08/2024,Prodotto 38,Est,Venditore 13,88,394.4,34707.2
02/11/2023,Prodotto 77,Nord,Venditore 5,46,976.3,44909.8
02/04/2023,Prodotto 75,Nord,Venditore 15,36,305.03,10981.08
13/02/2024,Prodotto 86,Ovest,Venditore 18,79,205.51,16235.29
09/07/2023,Prodotto 46,Ovest,Venditore 9,77,331.93,25558.61
22/11/2023,Prodotto 68,Est,Venditore 4,89,437.08,38900.12
29/07/2024,Prodotto 68,Centro,Venditore 18,68,996.65,67772.2
23/07/2023,Prodotto 7,Ovest,Venditore 6,12,118.07,1416.84
17/12/2022,Prodotto 8,Est,Venditore 4,49,429.59,21049.91
01/02/2023,Prodotto 5,Nord,Venditore 8,59,283.76,16741.84
06/10/2023,Prodotto 65,Est,Venditore 19,16,178.05,2848.8
26/05/2024,Prodotto 74,Sud,Venditore 12,6,892.68,5356.08
30/04/2023,Prodotto 74,Centro,Venditore 7,70,556.78,38974.6
09/04/2023,Prodotto 2,Nord,Venditore 14,68,237.49,16149.32
17/05/2024,Prodotto 30,Sud,Venditore 1,96,286.94,27546.24
22/10/2022,Prodotto 100,Ovest,Venditore 9,84,796.42,66899.28
31/08/2024,Prodotto 87,Nord,Venditore 16,29,82.17,2382.93
13/01/2024,Prodotto 69,Centro,Venditore 4,58,547.99,31783.42
30/05/2023,Prodotto 38,Est,Venditore 7,95,732.96,69631.2
16/01/2024,Prodotto 15,Centro,Venditore 5,74,242.27,17927.98
10/01/2024,Prodotto 95,Est,Venditore 8,82,801.87,65753.34
30/07/2023,Prodotto 55,Ovest,Venditore 1,36,125.61,4521.96
15/04/2024,Prodotto 42,Est,Venditore 16,54,886.29,47859.66
14/04/2023,Prodotto 29,Est,Venditore 10,53,346.24,18350.72
24/04/2023,Prodotto 64,Centro,Venditore 10,97,275.75,26747.75
06/11/2022,Prodotto 49,Sud,Venditore 4,80,436.99,34959.2
01/02/2024,Prodotto 55,Est,Venditore 18,90,494.99,44549.1
08/12/2023,Prodotto 55,Sud,Venditore 11,66,299.47,19765.02
30/06/2023,Prodotto 92,Sud,Venditore 4,51,322.93,16469.43
17/07/2023,Prodotto 63,Est,Venditore 16,48,846.75,40644.0
16/07/2024,Prodotto 27,Est,Venditore 12,36,601.14,21641.04
07/11/2023,Prodotto 32,Centro,Venditore 16,79,91.04,7192.16
23/06/2023,Prodotto 9,Nord,Venditore 15,84,300.54,25245.36
24/02/2024,Prodotto 12,Nord,Venditore 5,71,426.92,30311.32
13/08/2024,Prodotto 22,Nord,Venditore 5,92,438.05,40300.6
12/06/2023,Prodotto 51,Nord,Venditore 9,46,309.43,14233.78
28/09/2024,Prodotto 45,Est,Venditore 11,7,134.68,942.76
07/09/2024,Prodotto 64,Sud,Venditore 16,97,232.96,22597.12
11/04/2024,Prodotto 11,Est,Venditore 19,100,218.45,21845.0
27/03/2023,Prodotto 26,Nord,Venditore 5,58,888.03,51505.74
24/09/2023,Prodotto 98,Sud,Venditore 16,68,17.61,1197.48
26/01/2023,Prodotto 38,Sud,Venditore 13,99,797.81,78983.19
02/08/2024,Prodotto 98,Sud,Venditore 19,73,79.32,5790.36
05/02/2024,Prodotto 79,Est,Venditore 9,29,590.78,17132.62
31/08/2024,Prodotto 98,Nord,Venditore 3,30,67.9,2037.0
10/01/2023,Prodotto 97,Centro,Venditore 5,90,378.11,34029.9
08/02/2023,Prodotto 91,Sud,Venditore 19,99,784.92,77707.08
02/11/2022,Prodotto 76,Est,Venditore 4,9,728.79,6559.11
06/03/2023,Prodotto 64,Est,Venditore 3,21,750.99,15770.79
15/08/2023,Prodotto 63,Sud,Venditore 17,67,774.2,51871.4
20/05/2023,Prodotto 3,Nord,Venditore 20,8,512.86,4102.88
03/02/2023,Prodotto 14,Nord,Venditore 9,79,988.51,78092.29
05/03/2023,Prodotto 47,Centro,Venditore 10,51,813.85,41506.35
25/09/2024,Prodotto 19,Centro,Venditore 9,68,736.32,50069.76
25/04/2023,Prodotto 49,Sud,Venditore 18,82,297.69,24410.58
09/07/2024,Prodotto 41,Centro,Venditore 1,30,906.55,27196.5
05/07/2024,Prodotto 49,Sud,Venditore 18,64,983.67,62954.88
27/08/2023,Prodotto 50,Ovest,Venditore 19,30,964.63,28938.9
05/02/2024,Prodotto 43,Sud,Venditore 7,31,922.03,28582.93
20/07/2024,Prodotto 48,Sud,Venditore 8,29,700.48,20313.92
14/05/2023,Prodotto 90,Centro,Venditore 11,95,885.76,84147.2
29/10/2023,Prodotto 97,Est,Venditore 10,24,111.04,2664.96
29/03/2023,Prodotto 31,Est,Venditore 12,85,225.17,19139.45
09/11/2023,Prodotto 19,Est,Venditore 19,55,109.94,6046.7
26/03/2024,Prodotto 8,Ovest,Venditore 16,65,533.03,34646.95
18/11/2022,Prodotto 23,Ovest,Venditore 1,32,104.52,3344.64
18/01/2023,Prodotto 89,Sud,Venditore 14,8,226.18,1809.44
07/06/2024,Prodotto 38,Centro,Venditore 18,20,759.23,15184.6
17/11/2022,Prodotto 100,Est,Venditore 17,90,859.74,77376.6
10/09/2024,Prodotto 59,Centro,Venditore 12,65,578.48,37601.2
23/08/2024,Prodotto 84,Sud,Venditore 13,97,429.35,41646.95
29/07/2023,Prodotto 59,Nord,Venditore 11,82,333.64,27358.48
02/02/2024,Prodotto 80,Ovest,Venditore 9,49,758.97,37189.53
16/10/2022,Prodotto 79,Centro,Venditore 2,72,225.66,16247.52
13/04/2024,Prodotto 42,Sud,Venditore 19,74,185.17,13702.58
06/06/2023,Prodotto 38,Ovest,Venditore 12,20,667.29,13345.8
26/09/2023,Prodotto 71,Est,Venditore 2,76,399.69,30376.44
18/01/2024,Prodotto 25,Est,Venditore 1,22,933.67,20540.74
26/12/2022,Prodotto 64,Nord,Venditore 17,22,828.77,18232.94
27/06/2024,Prodotto 31,Ovest,Venditore 7,98,448.27,43930.46
21/08/2023,Prodotto 64,Sud,Venditore 4,40,331.34,13253.6
24/09/2023,Prodotto 78,Est,Venditore 7,89,859.8,76522.2
25/12/2023,Prodotto 14,Nord,Venditore 12,43,197.38,8487.34
22/01/2024,Prodotto 11,Ovest,Venditore 4,65,350.95,22811.75
28/01/2023,Prodotto 57,Est,Venditore 19,59,890.52,52540.68
01/03/2023,Prodotto 5,Ovest,Venditore 10,2,125.78,251.56
31/12/2023,Prodotto 27,Ovest,Venditore 14,25,201.6,5040.0
26/07/2024,Prodotto 16,Est,Venditore 13,31,464.36,14395.16
30/10/2022,Prodotto 45,Nord,Venditore 5,57,404.13,23035.41
23/05/2024,Prodotto 15,Centro,Venditore 5,45,434.94,19572.3
22/09/2024,Prodotto 63,Nord,Venditore 13,36,938.21,33775.56
07/06/2024,Prodotto 10,Centro,Venditore 7,55,432.17,23769.35
21/08/2024,Prodotto 32,Est,Venditore 4,50,661.59,33079.5
22/05/2024,Prodotto 55,Ovest,Venditore 2,60,594.26,35655.6
16/01/2023,Prodotto 72,Nord,Venditore 18,5,771.72,3858.6
19/02/2024,Prodotto 78,Sud,Venditore 18,16,154.63,2474.08
03/04/2024,Prodotto 9,Ovest,Venditore 10,15,25.01,375.15
29/01/2023,Prodotto 25,Centro,Venditore 3,37,765.62,28327.94
12/02/2023,Prodotto 31,Nord,Venditore 2,2,746.27,1492.54
28/04/2024,Prodotto 55,Centro,Venditore 12,7,139.41,975.87
22/06/2023,Prodotto 52,Centro,Venditore 12,75,872.03,65402.25
04/03/2024,Prodotto 71,Ovest,Venditore 4,95,921.03,87497.85
07/06/2024,Prodotto 5,Nord,Venditore 17,97,208.09,20184.73
25/04/2023,Prodotto 94,Sud,Venditore 5,83,433.12,35948.96
07/06/2024,Prodotto 63,Nord,Venditore 5,38,583.07,22156.66
26/11/2023,Prodotto 67,Nord,Venditore 4,43,643.13,27654.59
16/04/2024,Prodotto 28,Centro,Venditore 4,90,778.81,70092.9
22/07/2023,Prodotto 15,Centro,Venditore 8,37,105.27,3894.99
17/12/2023,Prodotto 21,Nord,Venditore 7,18,961.45,17306.1
05/07/2023,Prodotto 5,Ovest,Venditore 5,8,545.15,4361.2
08/08/2024,Prodotto 83,Nord,Venditore 12,18,854.18,15375.24
18/04/2024,Prodotto 41,Ovest,Venditore 14,39,608.25,23721.75
22/11/2022,Prodotto 12,Ovest,Venditore 1,3,720.35,2161.05
03/06/2023,Prodotto 77,Sud,Venditore 15,78,773.5,60333.0
23/11/2022,Prodotto 18,Est,Venditore 17,96,398.78,38282.88
27/01/2023,Prodotto 72,Ovest,Venditore 3,86,834.13,71735.18
04/10/2023,Prodotto 29,Nord,Venditore 1,100,48.28,4828.0
22/05/2024,Prodotto 67,Centro,Venditore 8,100,338.21,33821.0
20/01/2023,Prodotto 73,Ovest,Venditore 17,96,364.52,34993.92
03/09/2024,Prodotto 70,Centro,Venditore 12,71,300.46,21332.66
23/04/2023,Prodotto 81,Nord,Venditore 4,96,612.01,58752.96
27/02/2024,Prodotto 26,Nord,Venditore 9,6,48.96,293.76
25/12/2022,Prodotto 21,Ovest,Venditore 16,95,540.48,51345.6
01/12/2023,Prodotto 60,Sud,Venditore 10,95,542.95,51580.25
05/08/2024,Prodotto 62,Nord,Venditore 15,71,622.98,44231.58
12/04/2023,Prodotto 92,Ovest,Venditore 16,13,74.91,973.83
04/08/2023,Prodotto 46,Est,Venditore 2,21,727.97,15287.37
05/09/2024,Prodotto 50,Ovest,Venditore 11,67,835.16,55955.72
14/04/2024,Prodotto 31,Ovest,Venditore 4,44,982.08,43211.52
02/06/2023,Prodotto 30,Est,Venditore 6,70,174.64,12224.8
14/07/2023,Prodotto 3,Est,Venditore 16,91,489.36,44531.76
05/02/2024,Prodotto 8,Centro,Venditore 5,25,775.31,19382.75
17/06/2023,Prodotto 45,Nord,Venditore 20,52,957.24,49776.48
25/04/2023,Prodotto 100,Nord,Venditore 7,61,228.07,13912.27
25/01/2024,Prodotto 30,Nord,Venditore 1,89,107.3,9549.7
11/05/2023,Prodotto 53,Sud,Venditore 5,77,984.89,75836.53
28/11/2022,Prodotto 25,Est,Venditore 10,38,853.41,32429.58
13/03/2023,Prodotto 15,Est,Venditore 13,31,796.24,24683.44
02/03/2023,Prodotto 71,Sud,Venditore 12,95,544.37,51715.15
27/08/2023,Prodotto 77,Centro,Venditore 3,30,386.6,11598.0
29/07/2024,Prodotto 89,Sud,Venditore 4,31,40.61,1258.91
15/06/2023,Prodotto 47,Ovest,Venditore 2,1,287.37,287.37
16/06/2024,Prodotto 26,Ovest,Venditore 1,36,787.76,28359.36
26/07/2024,Prodotto 97,Sud,Venditore 4,92,323.66,29776.72
19/12/2022,Prodotto 92,Sud,Venditore 1,68,840.51,57154.68
04/01/2023,Prodotto 69,Ovest,Venditore 8,78,533.07,41579.46
21/11/2022,Prodotto 30,Ovest,Venditore 19,63,596.64,37588.32
24/06/2024,Prodotto 56,Nord,Venditore 16,56,663.97,37182.32
06/12/2023,Prodotto 11,Sud,Venditore 3,84,796.52,66907.68
22/03/2023,Prodotto 64,Est,Venditore 1,9,654.61,5891.49
11/06/2024,Prodotto 36,Ovest,Venditore 5,31,723.71,22435.01
16/12/2022,Prodotto 63,Nord,Venditore 10,1,274.75,274.75
08/11/2022,Prodotto 66,Est,Venditore 9,45,177.2,7974.0
30/08/2023,Prodotto 89,Est,Venditore 2,62,56.23,3486.26
26/12/2022,Prodotto 40,Ovest,Venditore 9,96,473.77,45481.92
24/05/2024,Prodotto 90,Nord,Venditore 3,67,366.31,24542.77
15/03/2024,Prodotto 55,Ovest,Venditore 1,44,152.83,6724.52
25/11/2022,Prodotto 46,Centro,Venditore 1,71,434.9,30877.9
21/01/2024,Prodotto 2,Est,Venditore 18,20,981.4,19628.0
12/03/2023,Prodotto 48,Nord,Venditore 4,100,626.18,62618.0
11/09/2023,Prodotto 13,Centro,Venditore 13,46,356.99,16421.54
31/08/2024,Prodotto 89,Sud,Venditore 7,2,333.62,667.24
14/02/2024,Prodotto 17,Nord,Venditore 2,80,316.97,25357.6
31/05/2024,Prodotto 75,Centro,Venditore 4,60,803.0,48180.0
31/08/2024,Prodotto 39,Ovest,Venditore 17,55,572.0,31460.0
04/03/2024,Prodotto 41,Centro,Venditore 17,53,725.91,38473.23
10/05/2023,Prodotto 77,Sud,Venditore 9,66,192.23,12687.18
05/03/2023,Prodotto 16,Sud,Venditore 20,7,159.51,1116.57
20/01/2024,Prodotto 54,Sud,Venditore 12,50,156.27,7813.5
15/05/2023,Prodotto 52,Est,Venditore 1,67,909.06,60907.02
13/04/2024,Prodotto 19,Nord,Venditore 15,39,135.64,5289.96
21/02/2023,Prodotto 23,Sud,Venditore 12,34,382.59,13008.06
05/09/2023,Prodotto 33,Nord,Venditore 15,9,250.9,2258.1
23/05/2024,Prodotto 13,Est,Venditore 12,51,169.66,8652.66
30/01/2023,Prodotto 81,Centro,Venditore 5,17,601.05,10217.85
05/04/2023,Prodotto 4,Centro,Venditore 10,83,823.18,68323.94
02/12/2023,Prodotto 39,Est,Venditore 13,94,202.22,19008.68
07/05/2024,Prodotto 72,Ovest,Venditore 15,72,367.13,26433.36
30/01/2024,Prodotto 41,Est,Venditore 12,96,780.03,74882.88
15/12/2022,Prodotto 46,Ovest,Venditore 5,36,484.43,17439.48
13/04/2024,Prodotto 38,Nord,Venditore 8,9,348.18,3133.62
24/04/2024,Prodotto 46,Centro,Venditore 14,22,482.76,10620.72
06/06/2024,Prodotto 62,Sud,Venditore 11,93,646.28,60104.04
24/04/2024,Prodotto 28,Centro,Venditore 12,44,545.67,24009.48
31/08/2024,Prodotto 14,Centro,Venditore 6,49,518.33,25398.17
26/08/2024,Prodotto 31,Ovest,Venditore 15,56,488.38,27349.28
22/06/2024,Prodotto 13,Est,Venditore 8,51,32.58,1661.58
14/04/2023,Prodotto 84,Ovest,Venditore 7,10,455.35,4553.5
24/08/2023,Prodotto 56,Centro,Venditore 10,9,419.83,3778.47
