ID Vendita,Data Vendita,ID Prodotto,ID Cliente,Quantità,Prezzo Unitario,Importo Totale
S00044,28/12/2023,P00092,C1042,11,624.8,6872.8
S00045,22/03/2024,P00273,C1085,8,472.98,3783.84
S00046,14/02/2024,P00187,C1006,7,49.97,349.79
S00047,21/05/2024,P00267,C1059,2,276.84,553.68
S00048,16/03/2024,P00198,C1004,2,187.83,375.66
S00049,25/02/2024,P00044,C1041,4,668.45,2673.8
S00050,12/10/2024,P00192,C1077,17,44.33,753.61
S00051,09/10/2024,P00296,C1007,8,969.27,7754.16
S00052,11/03/2024,P00122,C1002,10,188.04,1880.4
S00053,03/02/2024,P00081,C1009,1,227.87,227.87
S00054,06/10/2024,P00214,C1065,16,358.89,5742.24
S00055,16/07/2024,P00004,C1069,16,661.85,10589.6
S00056,18/08/2024,P00141,C1024,4,732.38,2929.52
S00057,29/01/2024,P00191,C1083,8,284.95,2279.6
S00058,29/11/2023,P00002,C1066,15,332.53,4987.95
S00059,01/04/2024,P00249,C1016,3,378.02,1134.06
S00060,09/12/2023,P00054,C1060,1,254.64,254.64
S00061,07/09/2024,P00097,C1022,3,321.14,963.42
S00062,17/07/2024,P00022,C1034,15,503.78,7556.7
S00063,06/06/2024,P00227,C1096,4,334.94,1339.76
S00064,23/02/2024,P00107,C1087,13,366.18,4760.34
S00065,29/12/2023,P00252,C1081,10,87.98,879.8
S00066,08/05/2024,P00097,C1008,1,321.14,321.14
S00067,14/12/2023,P00269,C1068,15,713.2,10698.0
S00068,29/08/2024,P00163,C1012,11,301.43,3315.73
S00069,15/07/2024,P00017,C1096,18,976.27,17572.86
S00070,11/01/2024,P00006,C1050,9,978.12,8803.08
S00071,28/03/2024,P00226,C1052,19,902.89,17154.91
S00072,09/04/2024,P00285,C1058,1,259.72,259.72
S00073,22/11/2023,P00270,C1078,12,381.51,4578.12
S00074,15/06/2024,P00256,C1025,17,477.55,8118.35
S00075,18/08/2024,P00204,C1060,1,363.13,363.13
S00076,04/07/2024,P00205,C1091,20,655.15,13103.0
S00077,07/11/2023,P00294,C1067,4,317.07,1268.28
S00078,31/05/2024,P00001,C1094,6,830.77,4984.62
S00079,07/08/2024,P00217,C1076,20,799.76,15995.2
S00080,17/12/2023,P00250,C1044,11,853.34,9386.74
S00081,20/05/2024,P00241,C1016,2,528.6,1057.2
S00082,23/06/2024,P00223,C1044,11,991.69,10908.59
S00083,27/02/2024,P00235,C1089,1,600.78,600.78
S00084,19/10/2024,P00199,C1056,12,195.65,2347.8
S00085,20/07/2024,P00032,C1054,3,63.57,190.71
S00086,16/11/2023,P00008,C1020,4,602.85,2411.4
S00087,24/02/2024,P00067,C1074,7,471.86,3303.02
S00088,23/05/2024,P00240,C1072,5,753.81,3769.05
S00089,12/09/2024,P00099,C1098,8,369.01,2952.08
S00090,10/09/2024,P00018,C1043,15,797.79,11966.85
S00091,08/07/2024,P00227,C1073,6,334.94,2009.64
S00092,12/10/2024,P00131,C1094,20,51.19,1023.8
S00093,07/12/2023,P00224,C1088,1,781.41,781.41
S00094,02/11/2023,P00138,C1087,11,369.82,4068.02
S00095,09/01/2024,P00207,C1085,9,688.48,6196.32
S00096,29/03/2024,P00013,C1040,16,619.68,9914.88
S00097,02/10/2024,P00181,C1002,15,198.45,2976.75
S00098,03/01/2024,P00195,C1065,13,292.17,3798.21
S00099,23/07/2024,P00266,C1095,12,767.35,9208.2
S00100,12/02/2024,P00269,C1012,20,713.2,14264.0
S00101,25/01/2024,P00103,C1076,14,731.98,10247.72
S00102,07/03/2024,P00075,C1083,10,978.04,9780.4
S00103,06/10/2024,P00248,C1036,11,679.35,7472.85
S00104,16/05/2024,P00010,C1008,18,191.43,3445.74
S00105,26/05/2024,P00095,C1081,17,86.94,1477.98
S00106,01/06/2024,P00062,C1052,1,689.14,689.14
S00107,26/12/2023,P00040,C1064,20,185.87,3717.4
S00108,29/10/2023,P00299,C1039,3,345.45,1036.35
S00109,19/05/2024,P00237,C1087,11,484.58,5330.38
S00110,07/10/2024,P00125,C1021,4,834.19,3336.76
S00111,16/09/2024,P00240,C1053,17,753.81,12814.77
S00112,02/09/2024,P00076,C1089,12,616.81,7401.72
S00113,17/04/2024,P00211,C1007,5,750.83,3754.15
S00114,21/10/2024,P00138,C1065,15,369.82,5547.3
S00115,17/12/2023,P00033,C1046,9,656.97,5912.73
S00116,24/07/2024,P00014,C1059,16,403.16,6450.56
S00117,31/07/2024,P00190,C1066,14,980.25,13723.5
S00118,16/01/2024,P00085,C1060,4,242.81,971.24
S00119,20/05/2024,P00300,C1054,2,846.68,1693.36
S00120,12/04/2024,P00040,C1100,19,185.87,3531.53
S00121,04/07/2024,P00076,C1089,14,616.81,8635.34
S00122,16/06/2024,P00197,C1054,13,833.68,10837.84
S00123,12/01/2024,P00225,C1062,15,525.37,7880.55
S00124,26/12/2023,P00284,C1002,10,55.48,554.8
S00125,12/07/2024,P00131,C1001,3,51.19,153.57
S00126,26/06/2024,P00274,C1025,17,482.21,8197.57
S00127,29/09/2024,P00173,C1004,5,522.52,2612.6
S00128,27/08/2024,P00058,C1083,18,520.61,9370.98
S00129,25/04/2024,P00265,C1011,15,507.29,7609.35
S00130,13/10/2024,P00018,C1047,19,797.79,15158.01
S00131,08/05/2024,P00045,C1029,1,876.87,876.87
S00132,09/03/2024,P00111,C1082,7,331.87,2323.09
S00133,02/06/2024,P00044,C1074,10,668.45,6684.5
S00134,01/03/2024,P00124,C1100,10,506.81,5068.1
S00135,10/03/2024,P00291,C1055,1,88.59,88.59
S00136,07/09/2024,P00072,C1079,5,173.52,867.6
S00137,19/05/2024,P00144,C1085,18,596.3,10733.4
S00138,12/03/2024,P00176,C1066,15,621.19,9317.85
S00139,23/06/2024,P00158,C1026,8,341.41,2731.28
S00140,08/07/2024,P00189,C1033,2,146.53,293.06
S00141,25/06/2024,P00131,C1072,10,51.19,511.9
S00142,29/03/2024,P00023,C1045,14,853.67,11951.38
S00143,25/03/2024,P00125,C1062,3,834.19,2502.57
S00144,10/02/2024,P00289,C1097,15,568.68,8530.2
S00145,13/05/2024,P00198,C1074,2,187.83,375.66
S00146,31/10/2023,P00112,C1039,16,351.3,5620.8
S00147,16/06/2024,P00108,C1030,7,906.66,6346.62
S00148,20/09/2024,P00088,C1065,19,637.46,12111.74
S00149,21/07/2024,P00259,C1087,15,679.96,10199.4
S00150,21/03/2024,P00007,C1033,14,789.21,11048.94
S00151,13/10/2024,P00064,C1021,18,874.85,15747.3
S00152,05/01/2024,P00061,C1034,12,514.48,6173.76
S00153,25/08/2024,P00272,C1093,2,354.4,708.8
S00154,11/07/2024,P00030,C1054,9,417.74,3759.66
S00155,30/01/2024,P00196,C1073,11,443.12,4874.32
S00156,21/10/2024,P00007,C1026,2,789.21,1578.42
S00157,12/10/2024,P00074,C1015,1,203.11,203.11
S00158,04/05/2024,P00010,C1050,14,191.43,2680.02
S00159,27/07/2024,P00268,C1060,4,789.84,3159.36
S00160,21/01/2024,P00025,C1018,12,331.08,3972.96
S00161,10/03/2024,P00056,C1057,10,169.47,1694.7
S00162,25/02/2024,P00117,C1063,7,182.68,1278.76
S00163,19/11/2023,P00267,C1010,19,276.84,5259.96
S00164,05/12/2023,P00230,C1007,7,177.74,1244.18
S00165,21/02/2024,P00231,C1081,2,527.83,1055.66
S00166,15/10/2024,P00013,C1033,13,619.68,8055.84
S00167,23/10/2023,P00139,C1077,15,321.54,4823.1
S00168,07/06/2024,P00053,C1076,20,194.78,3895.6
S00169,15/09/2024,P00026,C1079,8,621.02,4968.16
S00170,02/02/2024,P00206,C1095,7,121.94,853.58
S00171,14/01/2024,P00124,C1099,8,506.81,4054.48
S00172,27/01/2024,P00195,C1029,6,292.17,1753.02
S00173,29/04/2024,P00258,C1002,1,100.62,100.62
S00174,15/11/2023,P00013,C1035,16,619.68,9914.88
S00175,24/05/2024,P00003,C1034,12,294.21,3530.52
S00176,30/03/2024,P00291,C1035,10,88.59,885.9
S00177,26/09/2024,P00065,C1020,6,328.73,1972.38
S00178,21/01/2024,P00027,C1020,2,530.1,1060.2
S00179,30/09/2024,P00065,C1031,17,328.73,5588.41
S00180,17/08/2024,P00242,C1049,18,584.15,10514.7
S00181,19/08/2024,P00198,C1038,13,187.83,2441.79
S00182,23/03/2024,P00154,C1095,5,501.3,2506.5
S00183,01/05/2024,P00017,C1097,8,976.27,7810.16
S00184,06/03/2024,P00059,C1048,19,700.4,13307.6
S00185,08/06/2024,P00289,C1079,17,568.68,9667.56
S00186,15/08/2024,P00293,C1003,3,832.93,2498.79
S00187,12/01/2024,P00197,C1041,12,833.68,10004.16
S00188,30/03/2024,P00231,C1072,13,527.83,6861.79
S00189,10/12/2023,P00175,C1082,6,458.77,2752.62
S00190,14/01/2024,P00296,C1034,1,969.27,969.27
S00191,10/11/2023,P00049,C1072,6,494.31,2965.86
S00192,16/04/2024,P00218,C1015,19,633.66,12039.54
S00193,18/08/2024,P00038,C1094,5,913.52,4567.6
S00194,03/12/2023,P00090,C1082,4,578.74,2314.96
S00195,06/09/2024,P00062,C1011,1,689.14,689.14
S00196,28/02/2024,P00125,C1076,2,834.19,1668.38
S00197,11/05/2024,P00268,C1035,9,789.84,7108.56
S00198,25/11/2023,P00159,C1039,13,344.71,4481.23
S00199,08/07/2024,P00192,C1080,6,44.33,265.98
S00200,15/05/2024,P00294,C1004,4,317.07,1268.28
S00201,19/06/2024,P00215,C1039,15,293.44,4401.6
S00202,01/08/2024,P00258,C1070,9,100.62,905.58
S00203,03/09/2024,P00264,C1006,8,141.71,1133.68
S00204,04/11/2023,P00221,C1024,17,673.36,11447.12
S00205,06/12/2023,P00160,C1009,10,421.7,4217.0
S00206,15/07/2024,P00019,C1052,16,697.46,11159.36
S00207,26/03/2024,P00168,C1030,13,778.38,10118.94
S00208,28/02/2024,P00105,C1092,8,532.52,4260.16
S00209,02/03/2024,P00280,C1049,12,476.55,5718.6
S00210,28/11/2023,P00174,C1073,8,731.1,5848.8
S00211,26/03/2024,P00102,C1037,19,570.92,10847.48
S00212,25/06/2024,P00224,C1046,8,781.41,6251.28
S00213,11/02/2024,P00077,C1039,16,612.93,9806.88
S00214,05/01/2024,P00086,C1024,11,45.37,499.07
S00215,27/03/2024,P00035,C1034,6,837.94,5027.64
S00216,29/09/2024,P00054,C1035,20,254.64,5092.8
S00217,10/09/2024,P00250,C1046,14,853.34,11946.76
S00218,15/08/2024,P00100,C1053,4,311.0,1244.0
S00219,02/11/2023,P00088,C1012,9,637.46,5737.14
S00220,22/01/2024,P00128,C1053,14,659.71,9235.94
S00221,07/05/2024,P00083,C1051,8,665.31,5322.48
S00222,09/07/2024,P00136,C1039,1,483.37,483.37
S00223,10/05/2024,P00235,C1047,12,600.78,7209.36
S00224,19/04/2024,P00185,C1044,15,561.84,8427.6
S00225,17/04/2024,P00273,C1026,17,472.98,8040.66
S00226,13/06/2024,P00143,C1076,14,879.24,12309.36
S00227,25/01/2024,P00088,C1045,3,637.46,1912.38
S00228,13/06/2024,P00116,C1070,17,345.16,5867.72
S00229,19/03/2024,P00080,C1020,18,643.54,11583.72
S00230,25/05/2024,P00078,C1048,1,890.39,890.39
S00231,09/06/2024,P00280,C1029,13,476.55,6195.15
S00232,24/03/2024,P00278,C1072,10,353.77,3537.7
S00233,23/11/2023,P00049,C1097,12,494.31,5931.72
S00234,17/07/2024,P00061,C1018,9,514.48,4630.32
S00235,15/04/2024,P00249,C1030,13,378.02,4914.26
S00236,17/10/2024,P00105,C1062,1,532.52,532.52
S00237,04/01/2024,P00046,C1087,7,935.87,6551.09
S00238,03/10/2024,P00169,C1028,11,709.22,7801.42
S00239,19/02/2024,P00279,C1070,13,214.69,2790.97
S00240,22/03/2024,P00129,C1058,12,844.39,10132.68
S00241,18/09/2024,P00223,C1084,17,991.69,16858.73
S00242,22/03/2024,P00245,C1011,3,394.23,1182.69
S00243,26/05/2024,P00201,C1082,10,892.96,8929.6
S00244,03/10/2024,P00074,C1089,18,203.11,3655.98
S00245,19/08/2024,P00004,C1024,12,661.85,7942.2
S00246,21/02/2024,P00105,C1065,8,532.52,4260.16
S00247,09/12/2023,P00200,C1085,11,835.6,9191.6
S00248,24/06/2024,P00124,C1092,19,506.81,9629.39
S00249,08/09/2024,P00035,C1062,3,837.94,2513.82
S00250,26/02/2024,P00055,C1043,13,366.85,4769.05
S00251,27/01/2024,P00216,C1050,16,444.82,7117.12
S00252,26/05/2024,P00028,C1003,2,499.78,999.56
S00253,20/09/2024,P00058,C1097,5,520.61,2603.05
S00254,26/10/2023,P00216,C1056,18,444.82,8006.76
S00255,29/04/2024,P00205,C1070,19,655.15,12447.85
S00256,10/09/2024,P00134,C1059,5,967.69,4838.45
S00257,23/03/2024,P00188,C1053,4,687.6,2750.4
S00258,05/02/2024,P00133,C1002,2,811.35,1622.7
S00259,11/07/2024,P00274,C1066,6,482.21,2893.26
S00260,19/08/2024,P00272,C1054,1,354.4,354.4
S00261,17/12/2023,P00241,C1063,12,528.6,6343.2
S00262,26/06/2024,P00066,C1020,9,997.41,8976.69
S00263,05/08/2024,P00223,C1066,17,991.69,16858.73
S00264,14/03/2024,P00003,C1090,17,294.21,5001.57
S00265,18/11/2023,P00286,C1068,7,845.06,5915.42
S00266,19/05/2024,P00013,C1021,15,619.68,9295.2
S00267,30/12/2023,P00131,C1097,3,51.19,153.57
S00268,27/11/2023,P00287,C1035,15,613.46,9201.9
S00269,22/05/2024,P00272,C1026,9,354.4,3189.6
S00270,25/05/2024,P00036,C1068,13,228.4,2969.2
S00271,13/02/2024,P00022,C1049,14,503.78,7052.92
S00272,31/07/2024,P00161,C1031,10,924.98,9249.8
S00273,08/07/2024,P00264,C1023,1,141.71,141.71
S00274,05/12/2023,P00289,C1089,9,568.68,5118.12
S00275,19/10/2024,P00300,C1072,7,846.68,5926.76
S00276,08/10/2024,P00056,C1065,15,169.47,2542.05
S00277,10/11/2023,P00197,C1025,2,833.68,1667.36
S00278,31/10/2023,P00023,C1046,14,853.67,11951.38
S00279,15/01/2024,P00068,C1081,10,413.91,4139.1
S00280,16/03/2024,P00015,C1068,1,674.85,674.85
S00281,31/07/2024,P00210,C1027,7,251.91,1763.37
S00282,23/06/2024,P00257,C1050,9,662.97,5966.73
S00283,16/07/2024,P00143,C1038,8,879.24,7033.92
S00284,03/04/2024,P00267,C1058,9,276.84,2491.56
S00285,03/01/2024,P00045,C1058,18,876.87,15783.66
S00286,25/01/2024,P00199,C1031,11,195.65,2152.15
S00287,05/03/2024,P00145,C1061,9,298.19,2683.71
S00288,01/09/2024,P00293,C1087,18,832.93,14992.74
S00289,15/10/2024,P00253,C1093,9,344.38,3099.42
S00290,18/08/2024,P00289,C1033,7,568.68,3980.76
S00291,24/03/2024,P00242,C1096,4,584.15,2336.6
S00292,11/06/2024,P00102,C1045,19,570.92,10847.48
S00293,22/02/2024,P00067,C1034,15,471.86,7077.9
S00294,17/02/2024,P00292,C1070,4,672.73,2690.92
S00295,29/01/2024,P00002,C1001,3,332.53,997.59
S00296,24/09/2024,P00247,C1042,9,749.21,6742.89
S00297,24/10/2023,P00023,C1098,15,853.67,12805.05
S00298,14/06/2024,P00126,C1060,17,616.75,10484.75
S00299,17/08/2024,P00282,C1017,6,623.78,3742.68
S00300,14/06/2024,P00137,C1086,17,944.41,16054.97
S00301,17/02/2024,P00160,C1070,20,421.7,8434.0
S00302,24/05/2024,P00072,C1086,20,173.52,3470.4
S00303,06/11/2023,P00148,C1026,17,392.08,6665.36
S00304,20/05/2024,P00200,C1047,7,835.6,5849.2
S00305,23/12/2023,P00175,C1007,19,458.77,8716.63
S00306,04/10/2024,P00042,C1098,9,256.23,2306.07
S00307,22/02/2024,P00093,C1026,9,363.4,3270.6
S00308,03/10/2024,P00078,C1028,15,890.39,13355.85
S00309,01/08/2024,P00261,C1013,8,812.95,6503.6
S00310,10/02/2024,P00207,C1009,20,688.48,13769.6
S00311,27/07/2024,P00223,C1079,11,991.69,10908.59
S00312,15/04/2024,P00239,C1099,16,328.94,5263.04
S00313,13/04/2024,P00157,C1024,9,807.6,7268.4
S00314,01/10/2024,P00217,C1012,19,799.76,15195.44
S00315,21/03/2024,P00054,C1024,13,254.64,3310.32
S00316,03/10/2024,P00034,C1074,11,34.37,378.07
S00317,25/10/2023,P00262,C1087,1,480.14,480.14
S00318,01/06/2024,P00092,C1039,2,624.8,1249.6
S00319,21/08/2024,P00139,C1081,19,321.54,6109.26
S00320,15/07/2024,P00125,C1026,18,834.19,15015.42
S00321,25/10/2023,P00141,C1089,16,732.38,11718.08
S00322,11/10/2024,P00243,C1034,20,17.89,357.8
S00323,08/07/2024,P00122,C1024,20,188.04,3760.8
S00324,17/04/2024,P00055,C1034,7,366.85,2567.95
S00325,14/11/2023,P00198,C1040,6,187.83,1126.98
S00326,20/04/2024,P00181,C1069,6,198.45,1190.7
S00327,16/08/2024,P00235,C1091,2,600.78,1201.56
S00328,22/02/2024,P00012,C1016,10,631.5,6315.0
S00329,07/04/2024,P00182,C1087,1,18.96,18.96
S00330,24/11/2023,P00131,C1091,5,51.19,255.95
S00331,31/12/2023,P00260,C1036,7,522.65,3658.55
S00332,11/11/2023,P00205,C1078,20,655.15,13103.0
S00333,17/02/2024,P00032,C1081,20,63.57,1271.4
S00334,13/02/2024,P00279,C1021,13,214.69,2790.97
S00335,28/12/2023,P00189,C1064,2,146.53,293.06
S00336,25/04/2024,P00237,C1044,5,484.58,2422.9
S00337,28/03/2024,P00258,C1083,18,100.62,1811.16
S00338,03/09/2024,P00288,C1004,12,443.72,5324.64
S00339,14/06/2024,P00124,C1011,5,506.81,2534.05
S00340,31/08/2024,P00139,C1017,4,321.54,1286.16
S00341,16/09/2024,P00113,C1013,16,528.51,8456.16
S00342,18/04/2024,P00053,C1080,10,194.78,1947.8
S00343,13/11/2023,P00298,C1015,17,414.77,7051.09
S00344,25/07/2024,P00266,C1020,17,767.35,13044.95
S00345,11/05/2024,P00147,C1072,6,550.03,3300.18
S00346,28/12/2023,P00220,C1076,14,937.67,13127.38
S00347,23/10/2023,P00180,C1078,18,480.94,8656.92
S00348,19/07/2024,P00074,C1091,10,203.11,2031.1
S00349,11/12/2023,P00008,C1048,14,602.85,8439.9
S00350,19/01/2024,P00179,C1067,11,220.09,2420.99
S00351,22/08/2024,P00115,C1079,8,960.63,7685.04
S00352,20/03/2024,P00256,C1036,2,477.55,955.1
S00353,29/08/2024,P00022,C1030,8,503.78,4030.24
S00354,26/09/2024,P00108,C1039,13,906.66,11786.58
S00355,06/04/2024,P00284,C1072,9,55.48,499.32
S00356,08/07/2024,P00027,C1080,9,530.1,4770.9
S00357,11/06/2024,P00017,C1091,18,976.27,17572.86
S00358,24/08/2024,P00106,C1066,2,672.54,1345.08
S00359,30/04/2024,P00256,C1012,10,477.55,4775.5
S00360,04/01/2024,P00094,C1031,12,38.96,467.52
S00361,09/11/2023,P00053,C1097,13,194.78,2532.14
S00362,22/08/2024,P00079,C1040,1,202.11,202.11
S00363,03/11/2023,P00007,C1050,7,789.21,5524.47
S00364,26/11/2023,P00210,C1027,5,251.91,1259.55
S00365,28/03/2024,P00042,C1083,2,256.23,512.46
S00366,26/11/2023,P00226,C1086,12,902.89,10834.68
S00367,12/03/2024,P00231,C1039,6,527.83,3166.98
S00368,06/05/2024,P00068,C1045,9,413.91,3725.19
S00369,25/11/2023,P00286,C1065,7,845.06,5915.42
S00370,02/03/2024,P00187,C1081,10,49.97,499.7
S00371,13/04/2024,P00017,C1025,14,976.27,13667.78
S00372,07/10/2024,P00159,C1016,18,344.71,6204.78
S00373,05/08/2024,P00291,C1044,1,88.59,88.59
S00374,14/07/2024,P00110,C1032,16,857.16,13714.56
S00375,25/04/2024,P00043,C1064,3,178.92,536.76
S00376,22/05/2024,P00262,C1023,13,480.14,6241.82
S00377,19/05/2024,P00058,C1030,4,520.61,2082.44
S00378,29/02/2024,P00294,C1091,10,317.07,3170.7
S00379,17/10/2024,P00221,C1093,12,673.36,8080.32
S00380,07/09/2024,P00283,C1029,16,753.52,12056.32
S00381,08/10/2024,P00145,C1055,3,298.19,894.57
S00382,04/12/2023,P00207,C1031,15,688.48,10327.2
S00383,04/02/2024,P00183,C1061,20,250.86,5017.2
S00384,30/06/2024,P00086,C1019,13,45.37,589.81
S00385,23/05/2024,P00194,C1004,4,153.3,613.2
S00386,09/03/2024,P00249,C1064,14,378.02,5292.28
S00387,23/11/2023,P00008,C1098,10,602.85,6028.5
S00388,12/03/2024,P00135,C1065,5,131.7,658.5
S00389,21/05/2024,P00061,C1044,13,514.48,6688.24
S00390,05/12/2023,P00207,C1044,12,688.48,8261.76
S00391,30/06/2024,P00174,C1038,6,731.1,4386.6
S00392,05/12/2023,P00100,C1061,4,311.0,1244.0
S00393,20/03/2024,P00029,C1004,3,129.38,388.14
S00394,20/01/2024,P00140,C1039,15,486.48,7297.2
S00395,21/03/2024,P00209,C1073,7,181.61,1271.27
S00396,25/11/2023,P00256,C1003,2,477.55,955.1
S00397,29/01/2024,P00067,C1016,9,471.86,4246.74
S00398,02/02/2024,P00035,C1092,15,837.94,12569.1
S00399,25/08/2024,P00124,C1037,16,506.81,8108.96
S00400,11/05/2024,P00129,C1037,2,844.39,1688.78
S00401,07/02/2024,P00040,C1038,3,185.87,557.61
S00402,14/03/2024,P00008,C1006,8,602.85,4822.8
S00403,12/10/2024,P00082,C1088,12,323.73,3884.76
S00404,23/07/2024,P00154,C1073,9,501.3,4511.7
S00405,27/09/2024,P00089,C1049,6,28.18,169.08
S00406,27/07/2024,P00147,C1068,7,550.03,3850.21
S00407,11/02/2024,P00094,C1092,16,38.96,623.36
S00408,13/11/2023,P00085,C1080,11,242.81,2670.91
S00409,05/10/2024,P00127,C1039,12,596.5,7158.0
S00410,08/01/2024,P00058,C1010,2,520.61,1041.22
S00411,11/11/2023,P00274,C1020,20,482.21,9644.2
S00412,23/05/2024,P00124,C1036,5,506.81,2534.05
S00413,07/06/2024,P00151,C1024,1,169.77,169.77
S00414,29/01/2024,P00185,C1064,19,561.84,10674.96
S00415,13/01/2024,P00107,C1002,8,366.18,2929.44
S00416,19/12/2023,P00054,C1058,2,254.64,509.28
S00417,28/10/2023,P00171,C1077,12,384.97,4619.64
S00418,12/02/2024,P00224,C1100,3,781.41,2344.23
S00419,26/12/2023,P00169,C1003,2,709.22,1418.44
S00420,04/07/2024,P00041,C1097,1,495.31,495.31
S00421,12/02/2024,P00238,C1068,3,466.15,1398.45
S00422,20/06/2024,P00062,C1100,12,689.14,8269.68
S00423,03/10/2024,P00031,C1029,16,543.77,8700.32
S00424,16/02/2024,P00232,C1081,18,504.67,9084.06
S00425,16/07/2024,P00036,C1080,14,228.4,3197.6
S00426,07/05/2024,P00099,C1047,16,369.01,5904.16
S00427,11/01/2024,P00070,C1051,14,346.62,4852.68
S00428,29/08/2024,P00150,C1049,4,343.73,1374.92
S00429,10/05/2024,P00078,C1031,20,890.39,17807.8
S00430,23/10/2023,P00017,C1009,20,976.27,19525.4
S00431,28/02/2024,P00160,C1001,1,421.7,421.7
S00432,06/03/2024,P00237,C1044,8,484.58,3876.64
S00433,02/12/2023,P00284,C1009,19,55.48,1054.12
S00434,02/12/2023,P00259,C1032,17,679.96,11559.32
S00435,02/05/2024,P00072,C1083,5,173.52,867.6
S00436,11/01/2024,P00004,C1065,9,661.85,5956.65
S00437,18/05/2024,P00219,C1021,17,202.95,3450.15
S00438,04/11/2023,P00164,C1010,7,154.79,1083.53
S00439,11/09/2024,P00265,C1003,1,507.29,507.29
S00440,04/01/2024,P00163,C1056,11,301.43,3315.73
S00441,06/09/2024,P00295,C1057,9,333.17,2998.53
S00442,26/01/2024,P00112,C1046,13,351.3,4566.9
S00443,26/02/2024,P00053,C1033,1,194.78,194.78
S00444,25/11/2023,P00217,C1028,16,799.76,12796.16
S00445,25/10/2023,P00256,C1087,17,477.55,8118.35
S00446,06/06/2024,P00033,C1037,1,656.97,656.97
S00447,06/03/2024,P00041,C1036,11,495.31,5448.41
S00448,04/07/2024,P00223,C1049,4,991.69,3966.76
S00449,10/01/2024,P00036,C1081,19,228.4,4339.6
S00450,18/05/2024,P00295,C1044,19,333.17,6330.23
S00451,31/08/2024,P00124,C1052,14,506.81,7095.34
S00452,16/11/2023,P00270,C1048,13,381.51,4959.63
S00453,26/10/2023,P00146,C1067,6,772.34,4634.04
S00454,03/12/2023,P00142,C1025,13,328.27,4267.51
S00455,29/07/2024,P00245,C1100,14,394.23,5519.22
S00456,09/09/2024,P00078,C1030,13,890.39,11575.07
S00457,22/10/2024,P00085,C1028,8,242.81,1942.48
S00458,26/03/2024,P00259,C1083,3,679.96,2039.88
S00459,17/06/2024,P00145,C1003,10,298.19,2981.9
S00460,15/06/2024,P00126,C1020,2,616.75,1233.5
S00461,20/08/2024,P00140,C1036,18,486.48,8756.64
S00462,10/09/2024,P00239,C1076,11,328.94,3618.34
S00463,20/11/2023,P00008,C1017,6,602.85,3617.1
S00464,13/11/2023,P00164,C1031,10,154.79,1547.9
S00465,31/05/2024,P00032,C1077,7,63.57,444.99
S00466,04/05/2024,P00119,C1077,20,734.34,14686.8
